deney,sinif,iou,dice,precision,recall,piksel_orani
bolut_scratch,motorbike,1.84,3.62,8.49,2.3,1.221
bolut_scratch,person,20.63,34.21,29.47,40.76,4.413
bolut_scratch,pottedplant,0.0,0.0,0.0,0.0,0.485
bolut_scratch,sheep,0.41,0.81,9.42,0.42,0.756
bolut_scratch,sofa,0.0,0.0,0.0,0.0,1.136
bolut_scratch,train,0.88,1.75,30.01,0.9,1.865
bolut_scratch,tvmonitor,0.0,0.0,0.0,0.0,0.784
bolut_aux,arkaplan,92.34,96.02,95.82,96.22,73.718
bolut_aux,aeroplane,84.12,91.37,90.94,91.81,0.829
bolut_aux,bicycle,51.19,67.71,67.23,68.2,0.404
bolut_aux,bird,74.39,85.31,89.6,81.42,0.826
bolut_aux,boat,67.09,80.3,86.91,74.63,0.481
bolut_aux,bottle,60.94,75.73,74.42,77.08,0.971
bolut_aux,bus,87.9,93.56,92.76,94.38,1.719
bolut_aux,car,79.28,88.44,90.87,86.14,1.582
bolut_aux,cat,80.91,89.45,91.92,87.1,2.772
bolut_aux,chair,18.84,31.71,33.54,30.07,0.74
bolut_aux,cow,39.44,56.56,58.09,55.12,1.002
bolut_aux,diningtable,58.49,73.81,72.61,75.05,1.197
bolut_aux,dog,76.24,86.52,90.69,82.71,1.981
bolut_aux,horse,57.65,73.14,65.57,82.68,1.119
bolut_aux,motorbike,77.34,87.22,86.94,87.51,1.221
bolut_aux,person,80.83,89.4,90.88,87.97,4.413
bolut_aux,pottedplant,36.84,53.84,50.82,57.24,0.485
bolut_aux,sheep,57.57,73.07,71.86,74.32,0.756
bolut_aux,sofa,40.37,57.52,54.15,61.34,1.136
bolut_aux,train,75.78,86.22,90.04,82.72,1.865
bolut_aux,tvmonitor,62.75,77.11,77.1,77.13,0.784
bolut_sabit_lr,arkaplan,87.59,93.38,89.93,97.11,73.718
bolut_sabit_lr,aeroplane,68.31,81.17,88.22,75.16,0.829
bolut_sabit_lr,bicycle,28.22,44.02,32.8,66.9,0.404
bolut_sabit_lr,bird,39.29,56.42,50.14,64.48,0.826
bolut_sabit_lr,boat,43.39,60.52,56.59,65.05,0.481
bolut_sabit_lr,bottle,55.44,71.34,78.54,65.34,0.971
bolut_sabit_lr,bus,69.99,82.35,87.85,77.49,1.719
bolut_sabit_lr,car,70.17,82.47,87.35,78.11,1.582
bolut_sabit_lr,cat,44.43,61.52,56.69,67.26,2.772
bolut_sabit_lr,chair,6.61,12.39,37.26,7.43,0.74
bolut_sabit_lr,cow,21.69,35.65,63.33,24.81,1.002
bolut_sabit_lr,diningtable,31.52,47.93,81.9,33.88,1.197
bolut_sabit_lr,dog,18.58,31.34,81.17,19.42,1.981
bolut_sabit_lr,horse,32.6,49.17,63.15,40.26,1.119
bolut_sabit_lr,motorbike,50.64,67.23,81.16,57.38,1.221
bolut_sabit_lr,person,67.76,80.78,89.47,73.64,4.413
bolut_sabit_lr,pottedplant,27.23,42.8,44.58,41.16,0.485
bolut_sabit_lr,sheep,45.81,62.83,60.03,65.91,0.756
bolut_sabit_lr,sofa,30.32,46.53,65.49,36.09,1.136
bolut_sabit_lr,train,48.75,65.55,86.46,52.78,1.865
bolut_sabit_lr,tvmonitor,50.0,66.67,89.68,53.05,0.784
